data,hora,valor
20110101,0000,298.408
20110101,0100,298.367
20110101,0200,298.325
20110101,0300,298.285
20110101,0400,298.244
20110101,0500,298.206
20110101,0600,298.172
20110101,0700,298.138
20110101,0800,298.106
20110101,0900,298.078
20110101,1000,298.087
20110101,1100,298.144
20110101,1200,298.141
20110101,1300,298.146
20110101,1400,298.279
20110101,1500,298.409
20110101,1600,298.432
20110101,1700,298.453
20110101,1800,298.468
20110101,1900,298.478
20110101,2000,298.486
20110101,2100,298.475
20110101,2200,298.455
20110101,2300,298.429
20110102,0000,298.402
20110102,0100,298.37
20110102,0200,298.336
20110102,0300,298.302
20110102,0400,298.267
20110102,0500,298.231
20110102,0600,298.192
20110102,0700,298.152
20110102,0800,298.11
20110102,0900,298.072
20110102,1000,298.086
20110102,1100,298.09
20110102,1200,298.169
20110102,1300,298.271
20110102,1400,298.381
20110102,1500,298.501
20110102,1600,298.627
20110102,1700,298.672
20110102,1800,298.69
20110102,1900,298.708
20110102,2000,298.7
20110102,2100,298.689
20110102,2200,298.993
20110102,2300,298.965
20110103,0000,298.932
20110103,0100,298.9
20110103,0200,298.868
20110103,0300,298.832
20110103,0400,298.793
20110103,0500,298.753
20110103,0600,298.712
20110103,0700,298.67
20110103,0800,298.629
20110103,0900,298.59
20110103,1000,298.563
20110103,1100,298.551
20110103,1200,298.548
20110103,1300,298.566
20110103,1400,298.587
20110103,1500,298.615
20110103,1600,298.647
20110103,1700,298.657
20110103,1800,298.695
20110103,1900,298.709
20110103,2000,298.717
20110103,2100,298.708
20110103,2200,298.667
20110103,2300,298.645
20110104,0000,298.623
20110104,0100,298.6
20110104,0200,298.578
20110104,0300,298.554
20110104,0400,298.529
20110104,0500,298.502
20110104,0600,298.475
20110104,0700,298.448
20110104,0800,298.42
20110104,0900,298.394
20110104,1000,298.337
20110104,1100,298.332
20110104,1200,298.341
20110104,1300,298.32
20110104,1400,298.334
20110104,1500,298.365
20110104,1600,298.384
20110104,1700,298.334
20110104,1800,298.277
20110104,1900,298.215
20110104,2000,298.214
20110104,2100,298.207
20110104,2200,298.191
20110104,2300,298.172
20110105,0000,298.153
20110105,0100,298.133
20110105,0200,298.111
20110105,0300,298.089
20110105,0400,298.068
20110105,0500,298.046
20110105,0600,298.024
20110105,0700,298.001
20110105,0800,297.978
20110105,0900,297.956
20110105,1000,297.949
20110105,1100,297.982
20110105,1200,298.072
20110105,1300,298.148
20110105,1400,298.253
20110105,1500,298.355
20110105,1600,298.421
20110105,1700,298.458
20110105,1800,298.452
20110105,1900,298.459
20110105,2000,298.448
20110105,2100,298.434
20110105,2200,298.473
20110105,2300,298.452
20110106,0000,298.429
20110106,0100,298.406
20110106,0200,298.382
20110106,0300,298.36
20110106,0400,298.33
20110106,0500,298.3
20110106,0600,298.269
20110106,0700,298.236
20110106,0800,298.202
20110106,0900,298.171
20110106,1000,298.236
20110106,1100,298.377
20110106,1200,298.554
20110106,1300,298.772
20110106,1400,298.941
20110106,1500,299.089
20110106,1600,299.262
20110106,1700,299.401
20110106,1800,299.446
20110106,1900,299.348
20110106,2000,299.294
20110106,2100,299.296
20110106,2200,299.283
20110106,2300,299.256
20110107,0000,299.228
20110107,0100,299.197
20110107,0200,299.161
20110107,0300,299.122
20110107,0400,299.082
20110107,0500,299.041
20110107,0600,298.998
