"ntree","acuracia","acuracia_teste","runtime_sec"
1,0.884994759577626,0.884619795848148,8.13299999999998
11,0.922270291359793,0.919912178657448,19.965
21,0.924646102280401,0.921943866432913,35.622
31,0.925973258001923,0.922877787426474,50.0820000000001
41,0.926776145861051,0.923500401422181,65.8389999999999
51,0.92648120894302,0.923303786476169,80.323
61,0.926956360925487,0.923893631314207,96.763
71,0.9266123188661,0.92368063178936,106.011
81,0.926923627744107,0.924106630839054,120.758
91,0.926939986279822,0.923893631314207,136.885
101,0.927071073383022,0.924286861206233,150.414
111,0.927251307240676,0.924614552782921,161.953
121,0.927578989421173,0.92435239952157,174.735
131,0.927284037736807,0.924630937361755,190.69
141,0.927202118869166,0.924450706994577,206.021
151,0.927152970771538,0.924565399046418,219.244
161,0.927316812533044,0.924417937836908,231.581
171,0.927415127523716,0.924549014467583,248.412
181,0.927316816560806,0.924123015417889,277.209
191,0.927103824015765,0.924319630363902,294.931
201,0.927316832668995,0.925007782674946,287.396
