"ntree","Rquad","Rquad_teste","runtime_sec"
1,0.53259560814661,0.523622348128867,8.75099999999998
11,0.686562783566096,0.682602302250435,22.9579999999999
21,0.697991351283959,0.692954051117321,40.5610000000001
31,0.702656771992758,0.697116729145034,57.0460000000003
41,0.704698031707353,0.699283362720492,74.5540000000001
51,0.705966565319828,0.700472355924835,94.6750000000002
61,0.706293479002053,0.700781281642333,110.431
71,0.706907818100801,0.701225378961613,128.654
81,0.707238727727293,0.701677704691114,145.101
91,0.707527884572169,0.702079686191933,165.561
101,0.70782260790099,0.702119763855016,180.683
111,0.707901407231747,0.702495234854066,198.183
121,0.708135429408731,0.702636946609711,219.441
131,0.708382640341781,0.702710545909469,236.797
141,0.708457739828977,0.702904239286792,251.731
151,0.70851774881928,0.703100728677645,267.654
161,0.708523190828001,0.703002644383856,288.685
171,0.7085280791937,0.703059038236445,304.474
181,0.708647233821604,0.70311153937597,323.576
191,0.708613520216289,0.703098285690462,340.548
201,0.708724920827853,0.703205908395165,356.304
