"hora","acuracia_total_treino","acuracia_total_teste","runtime_sec"
1,0.598496145562437,0.405228700476813,52.259
2,0.50728169201043,0.271903856726659,49.594
3,0.454616360172576,0.216859114965943,48.878
4,0.423343165491669,0.183629414267854,51.148
5,0.408747629507293,0.151529841126527,48.672
6,0.397728590930414,0.119935112522829,52.244
7,0.388118618601285,0.118677552409412,50.283
8,0.365178752131036,0.106842580502155,50.539
9,0.368819392277316,0.0885948906459185,52.906
10,0.3499380031411,0.0756387226625965,52.862
11,0.359331946666052,0.0704802840112675,53.2040000000001
12,0.35971489377518,0.0608954498577005,52.9400000000001
13,0.352316828174403,0.0547356437975459,51.9250000000001
14,0.371227883650839,0.0449973926384622,52.149
15,0.381932293571495,0.0459366897629733,50.876
16,0.362032979515092,0.0454828331847207,51.2149999999999
17,0.36086408130634,0.0346255907741966,51.3290000000001
18,0.360427482448902,0.0314962515454016,51.41
19,0.360108968800564,0.0355966167564344,51.107
20,0.362594938700923,0.019397745739984,51.569
21,0.361866030687323,0.0235740182708587,51.519
22,0.357653474682677,0.0210361551596488,51.412
23,0.36395929893916,0.0237296792287494,51.4639999999999
24,0.361349644267179,0.0392435614379698,53.0719999999999
