"ntrees","acuracia_total_treino","acuracia_total_teste","acuracia_nevoa","acuracia_neblina","acuracia_visivel","runtime_sec"
1,0.836678768005621,0.734251447164315,0.596526172134561,0.605706016477428,0.618707711965588,7.171
11,0.884178475231292,0.830022826731237,0.561458998565967,0.665978705976468,0.669595431900781,14.349
21,0.889073662021314,0.842344217017896,0.557116950529592,0.672974115970859,0.676671243795902,23.598
31,0.890033961822227,0.842344217017896,0.554958574172851,0.660236995928092,0.66369883645134,34.018
41,0.890525822695866,0.846354659301578,0.552762254831769,0.667383694363357,0.671249956225756,44.344
51,0.890900573837686,0.850831725372984,0.554958574172851,0.672875197496155,0.676806913025203,54.497
61,0.891064527462232,0.856279873381005,0.559376508177911,0.690571709288903,0.694420826246286,65.023
71,0.891579810282234,0.882145964965382,0.524222751059144,0.751828254492809,0.755227587585416,71.434
81,0.891556388335871,0.857730190559066,0.557142245852486,0.692294677787724,0.69653875406288,85.823
91,0.891603232228598,0.882751314744051,0.515412178371919,0.755151695237038,0.758518414380899,89.923
101,0.89129874692587,0.882763926197773,0.515412178371919,0.753849755516059,0.757288975829536,101.064
111,0.891696920014053,0.883785453949277,0.515412178371919,0.756995124822589,0.760293453704831,110.172
121,0.891977983370418,0.884176409014667,0.513209535200113,0.75567667958359,0.759105224963973,120.952
131,0.892118515048601,0.861765855750192,0.552762254831769,0.704354808443031,0.708530785515526,137.218
141,0.892212202834055,0.884504306811446,0.511006892028307,0.757708661376433,0.761105610117137,138.16
151,0.892282468673147,0.884806981700781,0.511006892028307,0.758386333482128,0.761817131740885,149.149
161,0.892376156458602,0.860492098924243,0.55057225932141,0.695687460455565,0.699967097349057,165.597
171,0.892352734512238,0.861526238129469,0.550565935490686,0.69789277362253,0.702264697665899,176.569
181,0.892821173439513,0.862068530639527,0.550565935490686,0.699543228861421,0.703931482456992,187.039
191,0.892750907600422,0.863304453104309,0.550565935490686,0.703593824383606,0.707956735245769,196.625
201,0.892704063707694,0.864489929754203,0.552762254831769,0.708221023736682,0.712486243586501,207.528
