"ntrees","horas","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
1,1,1372.75744589333,0.367683639903992,783.164270237496,1417.56754487779,0.306830453822929,846.585584131056,22.487
21,1,1115.2227734675,0.581145334322383,580.763143738468,1103.98090728325,0.575713460888316,568.97951870265,154.633
41,1,1102.53299015596,0.590165439578896,584.049096518197,1087.86058316882,0.58782405085067,570.597192329469,272.437
61,1,1098.8055216546,0.592932784538541,583.031667749395,1085.40242683946,0.589755715099261,569.827855284403,400.809
81,1,1096.7565188228,0.594472720269969,582.418505456647,1083.16066922148,0.591506170413877,569.15091068188,538.971
101,1,1095.34355816626,0.5955301384001,582.040973533643,1082.70031312409,0.591886075104783,569.335275678392,666.336
121,1,1094.71444789285,0.596002683331233,581.947967757109,1081.90440093891,0.592494734379692,568.643417542032,782.723
141,1,1093.89512504791,0.596617962807828,581.699169925492,1080.99347331392,0.593203627273238,568.301543969713,922.378
161,1,1093.33951675582,0.596974681996124,575.238891482075,1083.10959811151,0.591360848802453,562.387313919523,1077.697
181,1,1092.96877475491,0.597240322482277,575.076759832389,1083.01826009645,0.591428400206651,562.411914360516,1206.294
201,1,1092.70995095781,0.597506652351577,581.275118902048,1080.11561482377,0.593907953717967,568.218099506652,1327.637
1,3,1587.71863060592,0.160470651667823,995.748580919249,1577.62933668064,0.162853457713989,969.113505059365,16.482
21,3,1362.10091290464,0.372783314975953,813.238195931361,1355.21986606629,0.372480326440637,804.17245044531,150.019
41,3,1347.10273748453,0.386375230339567,810.366272164103,1342.61499909151,0.383911996458131,801.805914977012,279.414
61,3,1342.02593718121,0.391156129084428,809.020808594498,1337.04577886492,0.389103429542506,799.854756846539,419.095
81,3,1338.3123586637,0.394651137958535,807.454912238288,1332.61064727269,0.393340554634745,798.390527956355,557.442999999999
101,3,1336.25500933506,0.396642121060289,807.055141438616,1330.23819382172,0.395578985812803,797.172161406587,680.151
121,3,1335.2447682133,0.397629397879528,806.887225470475,1329.24141965201,0.396564318398479,796.806388161784,813.257
141,3,1334.50337726074,0.398356625275804,806.699652000837,1328.07275277584,0.397700223603624,796.391783640051,954.937
161,3,1333.70307326306,0.399135269775197,806.371913335993,1327.67997810215,0.398107211922928,796.41814092025,1087.091
181,3,1333.01388953335,0.399803608477536,806.12581720381,1327.39612497492,0.398369730676879,796.177191675166,1225.917
201,3,1332.59503724478,0.400217203072461,805.9786438874,1326.65564689664,0.399102617761348,796.086653154951,1334.909
1,5,1632.29103263021,0.116428887449869,1036.70041051957,1623.15397129503,0.105764513489411,1024.67510687597,16.514000000001
21,5,1411.22412318741,0.328275314258345,869.246166647507,1373.75417192978,0.348599673138717,839.279259538699,152.029
41,5,1395.00580330355,0.343923834509071,866.427626374357,1359.55969354821,0.362806050014487,837.234832681568,282.214
61,5,1387.84533375137,0.351088131235924,864.038627474894,1353.39197966175,0.369379920592003,836.352014806564,416.110999999999
81,5,1384.34955779461,0.354673318579191,862.683304573179,1352.72650073575,0.370347059446279,837.508371319539,557.709999999999
101,5,1382.53617118039,0.356580683879372,862.286123589449,1352.49798052802,0.370746683715413,837.950544088778,685.223
121,5,1381.65563631936,0.35755788439355,862.250655229503,1350.93047813596,0.372405175153372,837.330908098513,821.981
141,5,1380.65967623364,0.358603687495468,861.972440855791,1349.86798873183,0.37355826297736,837.024750203963,968.987000000001
161,5,1380.19975620229,0.359102664245623,861.946799433908,1349.1227970293,0.374354338380863,836.824732657151,1089.751
181,5,1379.85871060511,0.359490448054292,861.964546680428,1348.62966862086,0.374886108033575,836.644893778005,1219.995
201,5,1379.4908472624,0.359883387995923,861.903392697102,1347.29144831115,0.376292777524723,835.726777169086,1345.123
1,7,1665.24259420882,0.0824910562815927,1076.58563541607,1659.38270345457,0.0859326145333421,1050.66856196612,16.8230000000003
21,7,1441.74325827027,0.298963595371784,902.457780339067,1404.6513903659,0.318958272148114,876.562560804018,153.437999999998
41,7,1423.30040634485,0.317421530269851,897.759749393493,1386.46909627242,0.337913728279886,871.46511460976,287.431
61,7,1417.49605317853,0.323602756555345,895.891782320757,1381.26338232496,0.343943096003374,871.224525850585,421.630000000001
81,7,1414.54371745758,0.326854740369242,895.284308811731,1377.99858975696,0.347642981642455,870.136153555313,559.736000000001
