"ntrees","horas","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
1,1,1393.65873545647,0.348643694879181,827.294858410896,1343.26933113634,0.371976030576413,860.395177475172,40.9729999999981
21,1,1110.81653541654,0.584035075894597,584.546499586864,1103.58814124185,0.575717736634189,574.369858848833,330.845000000001
41,1,1099.09325808993,0.592660840530857,581.625295555088,1090.71247172819,0.585613192168165,571.227810910232,630.75
61,1,1095.52869803732,0.595301895919442,580.481367669356,1086.45516333404,0.588914540287506,569.951055236358,932.447
81,1,1093.09608710122,0.597118183116785,579.432646167319,1084.51625287074,0.590420353314034,569.136458408563,1226.88500000001
101,1,1092.1395552129,0.59783387995277,579.243223104184,1084.2018850082,0.590696279763619,569.274966904441,1513.89999999999
121,1,1091.44051793534,0.598356386010725,578.992935045256,1083.18711568226,0.591498836315236,569.149171690142,1809.878
141,1,1090.93695914282,0.598733596883074,578.823851220996,1082.39152401823,0.592127229173801,568.927690515729,2104.61099999999
161,1,1090.67094802335,0.598925166188747,572.692753699497,1083.74054929418,0.590878814417904,563.08137029125,2458.90299999999
181,1,1090.18691505502,0.599277031045116,572.617430667214,1082.93400718938,0.591489514573233,562.590046949397,2740.231
201,1,1089.81653957287,0.599541791891285,572.485591685134,1082.95974291956,0.591470956294566,562.698572316438,3057.033
1,3,1577.52330581998,0.168753627568211,980.722301374395,1573.0366031794,0.165742523402857,971.281826573125,30.8699999999953
21,3,1356.65663518004,0.377458439880658,808.348885503455,1358.44248970306,0.369420973237567,806.514316181567,328.512000000002
41,3,1340.72234818727,0.391966537290176,805.289312697948,1341.0527325828,0.385332101853133,801.501244410008,632.207999999999
61,3,1334.50871442851,0.397834366539615,802.895407307013,1335.23864704241,0.390864035936574,799.871264760689,933.415000000008
81,3,1331.79051589431,0.400474671080539,802.399732397637,1332.55081018649,0.393431848399498,798.964524744234,1234.637
101,3,1330.20016379182,0.402051801689759,802.376212486339,1330.43658270867,0.395496006537746,798.656678301555,1546.822
121,3,1329.27119312025,0.402988126477275,802.521673245072,1330.6308214307,0.395308728078118,798.358619801889,1837.879
141,3,1328.72219168443,0.403538128387795,802.473778880765,1329.38875847364,0.396511993886854,797.681698155159,2108.974
