"ntrees","horas","RMSE_treino","Rsquared_treino","MAE_treino","RMSE_teste","Rsquared_teste","MAE_teste","runtime_sec"
1,1,2385.13616976367,0.134851746696224,1991.42149081352,2494.85821873522,0.0710581031171952,2116.84853284151,8.242
2,1,2285.23361862948,0.288737316790149,1735.90509069226,2276.80621184025,0.302685722574395,1725.49620356426,6.05
3,1,2153.95866975563,0.330688055801039,1643.73378578194,2137.99673971647,0.352060042432068,1635.8062458166,9.213
4,1,2084.84611744473,0.357761895558197,1601.23912335717,2085.82145170055,0.370482651111911,1601.88551079317,10.618
5,1,2045.11122154934,0.37456444917826,1576.00144199765,2036.05314090551,0.392753978434525,1568.74033634538,13.328
6,1,2017.34854042499,0.387384985615959,1559.73868993419,2003.61514821989,0.40774541729857,1544.43843080656,14.464
1,1,2385.13616976367,0.134851746696224,1991.42149081352,2494.85821873522,0.0710581031171952,2116.84853284151,7.918
21,1,1919.56624131993,0.438007419832097,1493.44580607326,1907.89852923503,0.456474255950618,1481.05112413941,45.875
41,1,1898.61187709054,0.450243233084998,1479.63587541841,1887.63146040715,0.468127552655218,1467.60764092957,87.662
61,1,1888.57287489894,0.456160564822216,1471.04089158832,1881.69387701596,0.471671899549816,1462.94216311969,128.936
81,1,1887.09792152911,0.457074563408466,1469.16291848988,1877.50939779339,0.474138224084402,1461.45739981531,169.219
101,1,1884.47111343043,0.458679177963817,1466.68220562788,1874.50328889503,0.475972704449918,1459.17636822041,212.11
121,1,1883.74931675186,0.459117993069892,1465.18359702898,1873.29075715246,0.476816097875929,1458.37709826911,253.1
141,1,1882.98843631404,0.459589680338757,1464.65633602651,1872.09106337707,0.477597590188041,1458.36929944957,296.695
161,1,1882.72695346794,0.459753522674333,1464.35254306784,1870.03346612915,0.478828454927536,1455.91818555277,339.197
181,1,1881.74865848842,0.460348160087047,1463.32431403173,1870.11549494725,0.478814468166215,1456.63431523054,377.764
201,1,1881.05741175914,0.460776130141893,1462.70579076534,1869.00135830828,0.479456593027891,1455.56356645487,412.158
